PGSC0003DMG400016249,GO:0044699
PGSC0003DMG400016270,GO:0019222
PGSC0003DMG400016280,GO:0009755
PGSC0003DMG400016284,GO:0000160
PGSC0003DMG400016290,GO:0006793
PGSC0003DMG400016291,GO:0006796
PGSC0003DMG400016317,GO:0050896
PGSC0003DMG400016318,GO:0071704
PGSC0003DMG400016365,GO:0072521
PGSC0003DMG400016367,GO:1901564
PGSC0003DMG400016372,GO:0006950
PGSC0003DMG400016412,GO:0019752
PGSC0003DMG400016453,GO:0050896
PGSC0003DMG400016477,GO:0009069
PGSC0003DMG400016534,GO:0044238
PGSC0003DMG400016535,GO:1901566
PGSC0003DMG400016601,GO:0008150
PGSC0003DMG400016623,GO:0008150
PGSC0003DMG400016625,GO:0034660
PGSC0003DMG400016650,GO:0071555
PGSC0003DMG400016698,GO:0006464
PGSC0003DMG400016721,GO:0044255
PGSC0003DMG400016731,GO:0010467
PGSC0003DMG400016878,GO:0006873
PGSC0003DMG400016965,GO:0008152
PGSC0003DMG400017095,GO:0071704
PGSC0003DMG400017100,GO:0046394
PGSC0003DMG400017119,GO:0008150
PGSC0003DMG400017151,GO:1901564
PGSC0003DMG400017160,GO:0009651
PGSC0003DMG400017171,GO:0071840
PGSC0003DMG400017185,GO:0044699
PGSC0003DMG400017186,GO:0070297
PGSC0003DMG400017191,GO:0008150
PGSC0003DMG400017198,GO:0009642
PGSC0003DMG400017231,GO:1901576
PGSC0003DMG400017247,GO:0008150
PGSC0003DMG400017248,GO:0006807
PGSC0003DMG400017291,GO:0044237
PGSC0003DMG400017330,GO:0071704
PGSC0003DMG400017334,GO:0006807
PGSC0003DMG400017341,GO:0043170
PGSC0003DMG400017390,GO:0008152
PGSC0003DMG400017484,GO:0031326
PGSC0003DMG400017485,GO:0050789
PGSC0003DMG400017556,GO:0044802
PGSC0003DMG400017570,GO:0055114
PGSC0003DMG400017573,GO:0043043
PGSC0003DMG400017593,GO:0009058
PGSC0003DMG400017637,GO:0055085
PGSC0003DMG400017640,GO:0009889
PGSC0003DMG400017760,GO:0010468
PGSC0003DMG400017779,GO:0044267
PGSC0003DMG400017812,GO:0044249
PGSC0003DMG400017936,GO:0050896
PGSC0003DMG400017946,GO:0008152
PGSC0003DMG400017949,GO:0044260
PGSC0003DMG400017976,GO:0008152
PGSC0003DMG400017997,GO:0055114
PGSC0003DMG400018060,GO:0044267
PGSC0003DMG400018094,GO:0071704
PGSC0003DMG400018141,GO:0055114
PGSC0003DMG400018146,GO:0019222
PGSC0003DMG400018235,GO:0051234
PGSC0003DMG400018269,GO:0043436
PGSC0003DMG400018273,GO:0022900
PGSC0003DMG400018288,GO:0043170
PGSC0003DMG400018291,GO:0043087
PGSC0003DMG400018328,GO:0044267
PGSC0003DMG400018382,GO:0044699
PGSC0003DMG400018407,GO:0044710
PGSC0003DMG400018408,GO:0031326
